eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,total_timesteps
1000.0,-87.10894940000001,1152,0.018414233,0.2618164,3.589059,-0.049325936,22.344921,0.4721108675003052,78,159744,138.88009439300004,159744
1000.0,-77.76774569000001,1134,0.026054636,0.31987303,3.5251274,-0.0508524,22.97452,0.45371848344802856,79,161792,140.68652897100037,161792
1000.0,-67.39903352000002,1154,0.02498565,0.3185547,3.462359,-0.054097284,20.807705,0.4114850163459778,80,163840,142.46148501000062,163840
1000.0,-55.60401730999999,1146,0.026569735,0.33222657,3.3856227,-0.05629496,21.945066,0.16004550457000732,81,165888,144.2484488129994,165888
1000.0,-41.93418168,1131,0.027622465,0.3404785,3.3046334,-0.058437217,32.06423,0.34825026988983154,82,167936,146.05822677200013,167936
1000.0,-27.11957833000001,1160,0.027508447,0.34033203,3.2251503,-0.056530483,28.626047,0.3394086956977844,83,169984,147.82349709700065,169984
1000.0,-8.12932758,1159,0.021744255,0.29301757,3.1719117,-0.052476723,32.258183,0.5091994106769562,84,172032,149.58982622700023,172032
1000.0,4.4478957299999955,1157,0.020969734,0.2762207,3.13058,-0.05091713,30.44078,0.45278215408325195,85,174080,151.35979723499986,174080
1000.0,20.17601947,1150,0.023381036,0.3010742,3.085081,-0.05279817,30.528278,0.49358081817626953,86,176128,153.13970190200052,176128
1000.0,33.23839939,1156,0.022628512,0.2980957,3.026524,-0.049973536,31.235867,0.4608280062675476,87,178176,154.91109945800054,178176
1000.0,45.016208809999995,1142,0.021418493,0.29331055,2.9833162,-0.04749543,33.88916,0.4988108277320862,88,180224,156.70439342899954,180224
1000.0,56.351192819999994,1153,0.028486315,0.35327148,2.93264,-0.057291396,29.131176,0.3800120949745178,89,182272,158.48056403400005,182272
1000.0,70.38336248,1158,0.019710574,0.27617186,2.8876073,-0.04589097,31.690685,0.563103973865509,90,184320,160.2482117620002,184320
1000.0,82.92552384999999,1152,0.0222014,0.29453126,2.8506992,-0.052839924,32.75361,0.6075440645217896,91,186368,162.02574778500093,186368
1000.0,95.16389824,1163,0.022155186,0.2902832,2.7997797,-0.049580757,34.658924,0.5899704694747925,92,188416,163.78675541600023,188416
1000.0,109.90172301999998,1158,0.030661061,0.34936523,2.7251222,-0.051975377,35.582615,0.2525876760482788,93,190464,165.5557035439997,190464
1000.0,123.83789088999998,1148,0.025827443,0.3383301,2.6625702,-0.05466216,37.015507,0.45077091455459595,94,192512,167.3398130910009,192512
1000.0,136.89514038,1152,0.020575125,0.2788574,2.6011147,-0.050350886,34.131966,0.617446094751358,95,194560,169.11751326000012,194560
