eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
99.26,-205.39112676000005,386,0.002301897,0.020263672,2.6802213,-0.002501216,288.28745,0.0,580,1187840,2380.916268158,1187840
99.49,-217.24309172999997,389,0.00017844612,0.0,2.6781867,6.568058e-05,407.8064,-1.2040138244628906e-05,590,1208320,2434.223220869,1208320
98.55,-182.58033043000003,385,0.0019759405,0.01574707,2.678713,-0.0023747275,356.85687,-1.3232231140136719e-05,600,1228800,2487.685587334,1228800
98.73,-191.58336598999998,387,0.0004926361,0.0,2.6758497,-0.00022243883,173.69623,-5.960464477539062e-07,610,1249280,2540.624045978,1249280
111.82,-167.84266442999996,222,3.9498485e-05,0.0,2.6770008,-7.248434e-05,374.21457,0.00011372566223144531,620,1269760,2600.445442354,1269760
94.82,-215.28088339999994,391,9.974376e-06,0.0,2.6809256,0.00012804099,544.55634,-2.372264862060547e-05,630,1290240,2653.0833229110003,1290240
104.58,-250.2981955,383,0.00023361202,0.0,2.6725266,-0.00016099657,324.95178,-4.3272972106933594e-05,640,1310720,2706.4321982590004,1310720
105.7,-183.54168309999997,265,0.0037974308,0.041381836,2.6758585,-0.0012944476,377.0977,0.0001035928726196289,650,1331200,2761.7540429309997,1331200
100.93,-223.91251678,388,0.00040764955,0.0,2.6672106,-0.0006034114,359.9304,-0.00041747093200683594,660,1351680,2814.5000886290004,1351680
97.81,-196.50555260000002,386,0.0004408927,0.0,2.6567078,0.0002793824,309.43927,1.537799835205078e-05,670,1372160,2867.3550750890004,1372160
102.66,-236.1809662,380,0.00015832492,0.0,2.647995,0.0006286995,346.9344,-5.602836608886719e-06,680,1392640,2920.8530050619997,1392640
104.95,-216.78096806000005,381,0.0022334838,0.010009766,2.6378634,-0.0009721017,314.89584,-0.0001304149627685547,690,1413120,2978.242129693,1413120
106.31,-223.13253572000002,381,0.00082596636,0.00061035156,2.6325815,-0.0011262491,257.3396,-1.1801719665527344e-05,700,1433600,3032.0312993970006,1433600
103.95,-212.75239994000003,391,0.0031672,0.03527832,2.6356554,-0.00056688173,257.847,-2.384185791015625e-07,710,1454080,3087.723843509,1454080
97.75,-194.69283240000001,392,0.00022335109,0.0,2.6239345,-0.00012039911,195.21413,2.980232238769531e-07,720,1474560,3140.761882075,1474560
95.24,-183.41088458000002,390,0.00064825,0.00012207031,2.6145856,-0.00038198012,258.0489,1.0192394256591797e-05,730,1495040,3192.755767835,1495040
102.41,-233.94506486000003,395,0.0006175862,0.00024414062,2.605405,-0.0013809514,300.95572,1.1920928955078125e-07,740,1515520,3248.723661562,1515520
96.14,-204.24847303999996,392,0.00022802691,0.0,2.6062372,0.00067225634,243.80205,0.0,750,1536000,3301.4526391209997,1536000
93.56,-203.96316428000003,401,0.0013340563,0.0037841797,2.6015449,-0.0009911208,226.87408,3.337860107421875e-06,760,1556480,3353.868251423,1556480
94.3,-175.04035742999997,396,0.002615304,0.026733398,2.6050296,-0.0011078476,253.83002,2.980232238769531e-07,770,1576960,3405.562095259,1576960
102.1,-213.53249012,380,0.0037068638,0.03564453,2.5973346,-0.00224857,432.51807,-3.5762786865234375e-06,780,1597440,3461.2040534290004,1597440
105.72,-205.12420071,250,0.0012995962,0.0018310547,2.590427,-0.0022371567,299.0976,0.0013003945350646973,790,1617920,3516.93449103,1617920
92.77,-177.42097457,390,0.0024077112,0.013549805,2.5906851,0.0014817032,342.34778,-5.435943603515625e-05,800,1638400,3569.44970342,1638400
96.94,-210.00919925,391,0.00038293234,0.0,2.5801854,-0.00050749094,125.23942,-1.1920928955078125e-07,810,1658880,3622.2923872260003,1658880
93.0,-184.58814702999996,395,0.0007776786,0.00012207031,2.5650141,-0.00014258003,264.8836,1.0728836059570312e-06,820,1679360,3674.2132478440003,1679360
89.93,-166.00771905999997,400,0.0001491989,0.0,2.5618458,-0.00048032403,203.84894,6.139278411865234e-06,830,1699840,3725.953236762,1699840
93.92,-179.71485118,396,3.9916045e-05,0.0,2.5536213,-1.5077414e-05,212.14897,-3.5762786865234375e-07,840,1720320,3777.787468281,1720320
92.12,-191.10742378999998,389,0.00049210095,0.0,2.5487273,-0.00041779235,272.7805,-8.225440979003906e-06,850,1740800,3829.447039993,1740800
94.19,-177.55368927999996,391,0.0020726325,0.0073242188,2.546897,-0.00029559288,335.3441,-1.633167266845703e-05,860,1761280,3881.726016295,1761280
94.49,-171.47553957999997,389,2.518861e-06,0.0,2.554474,2.9387535e-05,222.05876,2.3245811462402344e-06,870,1781760,3934.457053034,1781760
